Title,Author,Year,Rating,Raters,Genres
A Walk to Remember (Kindle Edition),Nicholas Sparks,1999,4.19,767569,"Romance,Fiction,Contemporary,Womens Fiction,Young Adult,Adult,Romance,Drama,Adult Fiction,Love"
The Unbearable Lightness of Being (Paperback),Milan Kundera,1984,4.11,412506,"Fiction,Classics,Philosophy,Literature,Novels,European Literature,Romance,Contemporary,Literary Fiction,Literature"
11/22/63 (Hardcover),Stephen King,2011,4.32,488543,"Fiction,Historical,Science Fiction,Science Fiction,Fantasy,Horror,Thriller,Audiobook,Historical,Mystery"
The Starless Sea (Hardcover),Erin Morgenstern,2019,3.86,167302,"Fantasy,Fiction,Magical Realism,Adult,Romance,LGBT,Audiobook,Writing,Fantasy,LGBT"
The Woman in Cabin 10 (Hardcover),Ruth Ware,2016,3.74,510673,"Mystery,Thriller,Fiction,Thriller,Suspense,Audiobook,Adult,Mystery,Contemporary,Adult Fiction"
Before We Were Yours (Hardcover),Lisa Wingate,2017,4.39,513300,"Historical,Fiction,Historical,Audiobook,Book Club,Adult,Adult Fiction,Family,Contemporary,Parenting"
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,2015,4.26,258581,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Science Fiction,Fantasy,Audiobook,Fantasy,Adventure"
Don Quixote (Paperback),Miguel de Cervantes Saavedra,1605,3.89,246261,"Classics,Fiction,Literature,European Literature,Adventure,Historical,Novels,Cultural,Humor,Classics"
The Scarlet Letter (Paperback),Nathaniel Hawthorne,1850,3.43,805445,"Classics,Fiction,Historical,Academic,Literature,Young Adult,Academic,Historical,Classics,Novels"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007,4.11,617562,"Young Adult,Fantasy,Paranormal,Fantasy,Romance,Fantasy,Fiction,Fantasy,Romance,Fantasy"
The Stand (Hardcover),Stephen King,1978,4.34,706429,"Horror,Fiction,Fantasy,Science Fiction,Apocalyptic,Thriller,Science Fiction,Audiobook,Science Fiction,Classics"
Station Eleven (Hardcover),Emily St. John Mandel,2014,4.07,435835,"Fiction,Science Fiction,Science Fiction,Apocalyptic,Audiobook,Adult,Fantasy,Literary Fiction,Adult Fiction,Science Fiction"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,1998,4.43,3450031,"Fantasy,Fiction,Young Adult,Fantasy,Childrens,Childrens,Audiobook,Adventure,Classics,Science Fiction Fantasy"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,4.06,2834949,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook"
Fight Club (Paperback),Chuck Palahniuk,1996,4.19,549888,"Fiction,Classics,Contemporary,Thriller,Novels,Mystery,Adult,Literature,Literature,Adult Fiction"
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009,3.76,465495,"Young Adult,Fantasy,Romance,Fantasy,Shapeshifters,Fiction,Romance,Fantasy,Fantasy,Young Adult"
Speak (Hardcover),Laurie Halse Anderson,1999,4.04,551240,"Young Adult,Fiction,Contemporary,Realistic Fiction,Health,Young Adult,Young Adult,Young Adult,Academic,Sociology"
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,2011,3.86,471003,"Nonfiction,Autobiography,Humor,Audiobook,Biography,Humor,Biography Memoir,Biography,Writing,Adult"
"Uglies (Uglies, #1)",Scott Westerfeld,2005,3.85,625322,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Romance,Young Adult,Adventure,Apocalyptic,Science Fiction Fantasy"
The Paris Apartment (Hardcover),Lucy Foley,2022,3.69,239480,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Mystery,Adult Fiction"
Beloved (Kindle Edition),Toni Morrison,1987,3.92,390719,"Fiction,Classics,Historical,Magical Realism,Literature,Historical,Cultural,Academic,Novels,Literary Fiction"
Crying in H Mart (Hardcover),Michelle Zauner,2021,4.29,218222,"Nonfiction,Autobiography,Audiobook,Biography,Food and Drink,Biography Memoir,Adult,Music,Biography,Contemporary"
Crying in H Mart (Hardcover),Michelle Zauner,2021,4.29,218222,"Nonfiction,Autobiography,Audiobook,Biography,Food and Drink,Biography Memoir,Adult,Music,Biography,Contemporary"
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,2021,4.06,287964,"Romance,Contemporary,Romance,Fiction,Adult,Audiobook,Womens Fiction,New Adult,Adult Fiction,Humor"
A People's History of the United States (Paperback),Howard Zinn,1980,4.07,227160,"History,Nonfiction,Politics,North American Hi...,Historical,Social Movements,Classics,Audiobook,Literature,Unfinished"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,4.3,3101868,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook"
Then She Was Gone (Hardcover),Lisa Jewell,2017,4.06,444945,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Mystery,Contemporary,Adult Fiction"
The Power of Now: A Guide to Spiritual Enlightenment (Paperback),Eckhart Tolle,1997,4.15,298809,"Self Help,Nonfiction,Spirituality,Philosophy,Psychology,Self Help,Audiobook,Religion,Inspirational,Unfinished"
Flowers for Algernon (Paperback),Daniel Keyes,1959,4.18,589455,"Fiction,Classics,Science Fiction,Young Adult,Psychology,Literature,Academic,Novels,Adult,Academic"
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,2013,3.88,541044,"Mystery,Fiction,Mystery,Thriller,Thriller,Audiobook,Adult,Mystery,Contemporary,Adult Fiction"
Into the Water (Hardcover),Paula Hawkins,2017,3.59,350628,"Mystery,Fiction,Thriller,Thriller,Audiobook,Suspense,Mystery,Adult,Contemporary,Adult Fiction"
A Promised Land (Kindle Edition),Barack Obama,2020,4.35,186760,"Nonfiction,Biography,Autobiography,Politics,Audiobook,History,Biography,Biography Memoir,Politics,Adult"
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,2009,3.77,578502,"Fantasy,Young Adult,Fantasy,Romance,Fiction,Fantasy,Fantasy,Paranormal,Fantasy,Romance"
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,2020,3.83,327719,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Audiobook,Romance,Adventure,Young Adult,Science Fiction Fantasy"
"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,2020,3.95,164564,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Young Adult,Mystery,Historical,Fiction,Fantasy"
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,2016,4.61,490026,"Fantasy,Young Adult,Fiction,Young Adult,LGBT,Romance,Fantasy,Adventure,Fantasy,Audiobook"
The Four Winds (Hardcover),Kristin Hannah,2021,4.3,476789,"Historical,Fiction,Audiobook,Historical,Adult,Adult Fiction,Family,Book Club,Literary Fiction,Novels"
The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,2008,4.18,702502,"Historical,Fiction,Romance,Historical,War,Book Club,War,Writing,Adult,Audiobook"
The Lost Apothecary (Hardcover),Sarah Penner,2021,3.76,251264,"Historical,Fiction,Mystery,Fantasy,Historical,Audiobook,Adult,Contemporary,Thriller,Thriller"
The Poisonwood Bible (Hardcover),Barbara Kingsolver,1998,4.08,706883,"Fiction,Historical,Cultural,Classics,Historical,Literary Fiction,Literature,Novels,Religion,Adult Fiction"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,2018,4.15,145801,"Fantasy,Fiction,Historical,Adult,Historical,Young Adult,Fantasy,Audiobook,War,Fantasy"
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,2013,4.02,435015,"Young Adult,Science Fiction,Science Fiction,Fiction,Science Fiction,Fantasy,Romance,Apocalyptic,Audiobook,Science Fiction"
"Maybe Someday (Maybe, #1)",Colleen Hoover,2014,4.14,320252,"Romance,New Adult,Contemporary,Romance,Young Adult,Fiction,Music,Womens Fiction,Audiobook,Academic"
Start with Why: How Great Leaders Inspire Everyone to Take Action (Hardcover),Simon Sinek,2009,4.1,184604,"Business,Leadership,Nonfiction,Self Help,Self Help,Business,Psychology,Audiobook,Business,Buisness"
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,2018,4.11,203425,"Fantasy,Young Adult,Fiction,Young Adult,Fantasy,Audiobook,Romance,Adventure,Fantasy,Cultural"
"These Violent Delights (These Violent Delights, #1)",Chloe Gong,2020,3.95,101339,"Fantasy,Historical,Young Adult,Romance,Retellings,Historical,Fiction,Young Adult,Mystery,Audiobook"
One Last Stop (Paperback),Casey McQuiston,2021,4.0,163535,"Romance,LGBT,Contemporary,LGBT,Fiction,LGBT,Adult,Audiobook,New Adult,Science Fiction"
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,2010,4.65,402733,"Fantasy,Fiction,Fantasy,Fantasy,Audiobook,Adult,Science Fiction Fantasy,Fantasy,Epic,Adventure"
"The Host (The Host, #1)",Stephenie Meyer,2008,3.85,965555,"Young Adult,Science Fiction,Fantasy,Romance,Fiction,Science Fiction,Fantasy,Science Fiction,Adult,Romance"
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,2019,4.02,229004,"Fantasy,Romance,Young Adult,Young Adult,Paranormal,Fantasy,Fiction,Romance,Fantasy,New Adult"
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,2015,4.32,218932,"Fantasy,Fiction,Science Fiction,Science Fiction,Adult,Science Fiction Fantasy,Audiobook,LGBT,Apocalyptic,Fantasy"
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,2019,4.2,309901,"Fiction,Science Fiction,Science Fiction,Feminism,Audiobook,Classics,Adult,Cultural,Speculative Fiction,Literary Fiction"
"Vicious (Villains, #1)",V.E. Schwab,2013,4.23,180394,"Fantasy,Science Fiction,Fiction,Adult,Fantasy,Young Adult,Fantasy,Comics,Thriller,Adult Fiction"
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,2021,4.42,414834,"Fantasy,Romance,New Adult,Fairies,Fiction,Romance,Adult,Young Adult,Fantasy,Audiobook"
The Iliad (Paperback),Homer,800,3.89,412440,"Classics,Poetry,Fiction,Fantasy,Literature,Fantasy,Historical,Academic,Mythology,War"
The Alice Network (Paperback),Kate Quinn,2017,4.31,391530,"Historical,Fiction,Historical,Audiobook,War,War,Adult,Cultural,Book Club,Adult Fiction"
Stardust (Paperback),Neil Gaiman,1998,4.1,414591,"Fantasy,Fiction,Romance,Young Adult,Adventure,Fantasy,Audiobook,Science Fiction Fantasy,Fantasy,Adult"
"Murder on the Orient Express (Hercule Poirot, #9)",Agatha Christie,1934,4.2,526029,"Mystery,Classics,Fiction,Mystery,Thriller,Thriller,Audiobook,Mystery,Adult,Mystery"
Girl with a Pearl Earring (Paperback),Tracy Chevalier,1999,3.92,699917,"Historical,Fiction,Historical,Classics,Art,Romance,Adult,Adult Fiction,Novels,Literature"
Homegoing (Hardcover),Yaa Gyasi,2016,4.47,280667,"Historical,Fiction,Cultural,Historical,Literary Fiction,Audiobook,Race,Adult,Western Africa,Book Club"
The Sun Is Also a Star (Hardcover),Nicola Yoon,2016,4.0,286663,"Young Adult,Romance,Contemporary,Fiction,Audiobook,Realistic Fiction,Young Adult,Young Adult,Young Adult,Romance"
Influence: The Psychology of Persuasion (Paperback),Robert B. Cialdini,1984,4.21,135591,"Psychology,Business,Nonfiction,Self Help,Self Help,Leadership,Science,Language,Business,Buisness"
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,2006,4.29,265924,"Fantasy,Fiction,Adventure,Adult,Fantasy,Fantasy,Audiobook,Science Fiction Fantasy,Mystery,Mystery"
"Beartown (Beartown, #1)",Fredrik Backman,2016,4.28,319766,"Fiction,Contemporary,Audiobook,Sports,Adult,Literary Fiction,Adult Fiction,Book Club,Realistic Fiction,Cultural"
The Couple Next Door (Hardcover),Shari Lapena,2016,3.81,480529,"Thriller,Mystery,Fiction,Thriller,Suspense,Audiobook,Mystery,Adult,Contemporary,Thriller"
Misery (Paperback),Stephen King,1987,4.2,612001,"Horror,Fiction,Thriller,Suspense,Mystery,Adult,Thriller,Audiobook,Novels,Mystery"
Why We Sleep: Unlocking the Power of Sleep and Dreams (Hardcover),Matthew Walker,2017,4.38,148245,"Nonfiction,Science,Health,Psychology,Self Help,Audiobook,Biology,Self Help,Science,Health"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,4.62,867076,"Fantasy,Romance,Young Adult,New Adult,Fairies,Fiction,Fantasy,Romance,Young Adult,Fantasy"
Between the World and Me (Hardcover),Ta-Nehisi Coates,2015,4.4,305035,"Nonfiction,Autobiography,Race,Audiobook,History,Social Movements,Biography,Politics,Writing,Cultural"
John Adams (Paperback),David McCullough,2001,4.06,348377,"History,Biography,Nonfiction,North American Hi...,Politics,Politics,Historical,Biography Memoir,Military History,Audiobook"
The Adventures of Tom Sawyer (Paperback),Mark Twain,1876,3.92,869992,"Classics,Fiction,Adventure,Historical,Young Adult,Literature,Childrens,Academic,Novels,Literature"
Atonement (Paperback),Ian McEwan,2001,3.93,488785,"Fiction,Historical,Classics,Romance,Historical,War,Literary Fiction,Contemporary,Literature,Novels"
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,1886,3.83,497325,"Classics,Horror,Fiction,Science Fiction,Mystery,Gothic,Fantasy,Literature,Academic,Literature"
My Dark Vanessa (Hardcover),Kate Elizabeth Russell,2020,4.08,232326,"Fiction,Contemporary,Adult,Audiobook,Literary Fiction,Thriller,Dark,Health,Adult Fiction,Sociology"
Tuesdays with Morrie (Paperback),Mitch Albom,1997,4.15,923403,"Nonfiction,Autobiography,Biography,Classics,Inspirational,Philosophy,Self Help,Contemporary,Adult,Biography Memoir"
Before I Fall (Paperback),Lauren Oliver,2010,3.89,325804,"Young Adult,Contemporary,Fiction,Romance,Fantasy,Realistic Fiction,Fantasy,Young Adult,Death,Audiobook"
Meditations (Paperback),Marcus Aurelius,180,4.26,185443,"Philosophy,Nonfiction,Classics,History,Self Help,Psychology,Self Help,Spirituality,Leadership,Biography"
Americanah (Hardcover),Chimamanda Ngozi Adichie,2013,4.32,336417,"Fiction,Cultural,Contemporary,Feminism,Literary Fiction,Race,Western Africa,Romance,Novels,Audiobook"
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,2008,3.97,184252,"Young Adult,Science Fiction,Science Fiction,Fantasy,Fiction,Adventure,Young Adult,Thriller,Audiobook,Apocalyptic"
Do Androids Dream of Electric Sheep? (Kindle Edition),Philip K. Dick,1968,4.09,407405,"Science Fiction,Fiction,Classics,Science Fiction,Science Fiction,Science Fiction Fantasy,Fantasy,Novels,Speculative Fiction,Literature"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma (Hardcover)",Bessel van der Kolk,2014,4.47,108709,"Nonfiction,Psychology,Self Help,Health,Health,Science,Audiobook,Self Help,Psychology,Social Science"
All Your Perfects (Paperback),Colleen Hoover,2018,4.2,322608,"Romance,Contemporary,Fiction,New Adult,Romance,Adult,Audiobook,Womens Fiction,Drama,Adult Fiction"
Maybe You Should Talk to Someone (Hardcover),Lori Gottlieb,2019,4.38,247016,"Nonfiction,Psychology,Autobiography,Self Help,Health,Audiobook,Biography,Biography Memoir,Adult,Self Help"
Carrie (Mass Market Paperback),Stephen King,1974,3.98,636646,"Horror,Fiction,Thriller,Fantasy,Fantasy,Classics,Adult,Fantasy,Novels,Audiobook"
Homo Deus: A History of Tomorrow (Kindle Edition),Yuval Noah Harari,2015,4.22,217156,"Nonfiction,History,Science,Philosophy,Audiobook,Anthropology,Sociology,Politics,Psychology,Science"
The Master and Margarita (Paperback),Mikhail Bulgakov,1967,4.3,304188,"Classics,Fiction,Cultural,Fantasy,Literature,Magical Realism,Literature,Novels,Historical,Literature"
Pretty Girls (Paperback),Karin Slaughter,2015,4.03,254082,"Thriller,Mystery,Fiction,Thriller,Audiobook,Mystery,Suspense,Horror,Adult,Contemporary"
"Where'd You Go, Bernadette (Hardcover)",Maria Semple,2012,3.88,540224,"Fiction,Contemporary,Humor,Mystery,Audiobook,Womens Fiction,Adult,Adult Fiction,Book Club,Novels"
Klara and the Sun (Hardcover),Kazuo Ishiguro,2021,3.77,234899,"Fiction,Science Fiction,Audiobook,Literary Fiction,Fantasy,Contemporary,Science Fiction,Adult,Novels,Speculative Fiction"
The Time Machine (Paperback),H.G. Wells,1895,3.9,478591,"Classics,Science Fiction,Fiction,Science Fiction,Fantasy,Science Fiction,Literature,Science Fiction Fantasy,Adventure,Audiobook"
My Year of Rest and Relaxation (Paperback),Ottessa Moshfegh,2018,3.71,237848,"Fiction,Contemporary,Literary Fiction,Health,Audiobook,Adult,Novels,Adult Fiction,New York,Womens"
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,2014,4.14,156285,"Nonfiction,Science,Humor,Audiobook,Science,Humor,Science,Sequential Art,Adult,Reference"
Ulysses (Paperback),James Joyce,1922,3.75,120465,"Classics,Fiction,Literature,Novels,Cultural,European Literature,Literature,Unfinished,Literary Fiction,Literature"
Carrie Soto Is Back (Hardcover),Taylor Jenkins Reid,2022,4.27,129696,"Fiction,Historical,Contemporary,Audiobook,Romance,Sports,Adult,Historical,Adult Fiction,Literary Fiction"
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,2015,4.19,393587,"Young Adult,LGBT,Romance,Contemporary,Fiction,LGBT,Audiobook,Realistic Fiction,Young Adult,LGBT"
The Maidens (Hardcover),Alex Michaelides,2021,3.63,216443,"Mystery,Thriller,Fiction,Thriller,Audiobook,Adult,Contemporary,Fantasy,Suspense,Mystery"
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,2017,4.1,169444,"Fantasy,Historical,Fiction,Young Adult,Historical,Fantasy,Fantasy,Cultural,Audiobook,Adult"
The Sun and Her Flowers (Paperback),Rupi Kaur,2018,4.11,275664,"Poetry,Feminism,Nonfiction,Adult,Contemporary,Romance,Health,Cultural,Womens,Love"
Lessons in Chemistry (Hardcover),Bonnie Garmus,2022,4.38,214313,"Fiction,Historical,Audiobook,Romance,Feminism,Historical,Adult,Humor,Contemporary,Adult Fiction"
The Story of Art (Hardcover),E.H. Gombrich,1950,3.95,382462,"Art,Nonfiction,History,Art,Reference,Design,Classics,Architecture,Art,Cultural"
Love on the Brain (Kindle Edition),Ali Hazelwood,2022,4.02,147231,"Romance,Contemporary,Romance,Fiction,Adult,Womens Fiction,Audiobook,New Adult,Adult Fiction,Love"
The Outsider (Hardcover),Stephen King,2018,3.99,253383,"Horror,Fiction,Thriller,Mystery,Mystery,Audiobook,Thriller,Fantasy,Fantasy,Suspense"
"Foundation (Foundation, #1)",Isaac Asimov,1951,4.17,491686,"Science Fiction,Fiction,Classics,Science Fiction Fantasy,Fantasy,Space,Novels,Space,Audiobook,Speculative Fiction"
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,3.79,939218,"Fiction,Womens Fiction,Romance,Humor,Contemporary,Adult,Humor,Adult Fiction,European Literature,Romance"
The Haunting of Hill House (Paperback),Shirley Jackson,1959,3.82,243222,"Horror,Classics,Fiction,Gothic,Mystery,Fantasy,Audiobook,Thriller,Paranormal,Adult"
"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,1920,4.0,355107,"Mystery,Fiction,Classics,Mystery,Thriller,Audiobook,Mystery,Thriller,Adult,European Literature"
Hamlet (Paperback),William Shakespeare,1601,4.03,862721,"Classics,Plays,Fiction,Drama,Academic,Literature,Plays,Academic,Poetry,Young Adult"
The Man Who Mistook His Wife for a Hat and Other Clinical Tales (Paperback),Oliver Sacks,1985,4.06,200672,"Nonfiction,Psychology,Science,Health,Biology,Medical,Short Stories,Writing,Health,Health"
"Tomorrow, and Tomorrow, and Tomorrow (Hardcover)",Gabrielle Zevin,2022,4.35,80796,"Fiction,Contemporary,Romance,Audiobook,Literary Fiction,Adult,Historical,Adult Fiction,Science Fiction,Young Adult"
Dreams from My Father: A Story of Race and Inheritance (Paperback),Barack Obama,1995,3.92,217803,"Nonfiction,Biography,Autobiography,Politics,Biography,Biography Memoir,History,Audiobook,Race,Cultural"
Cloud Atlas (Paperback),David Mitchell,2004,4.01,236796,"Fiction,Science Fiction,Fantasy,Historical,Science Fiction,Contemporary,Literary Fiction,Novels,Literature,Historical"
"Insurgent (Divergent, #2)",Veronica Roth,2012,3.99,1378898,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Apocalyptic,Audiobook"
The Casual Vacancy (Hardcover),J.K. Rowling,2012,3.3,320676,"Fiction,Contemporary,Mystery,Adult,Adult Fiction,Drama,Unfinished,European Literature,Novels,Audiobook"
"The Deal (Off-Campus, #1)",Elle Kennedy,2015,4.26,460906,"Romance,New Adult,Contemporary,Contemporary Romance,Sports,Academic,Romance,Sports,Fiction,Adult"
Confess (Paperback),Colleen Hoover,2015,4.19,301839,"Romance,New Adult,Contemporary,Fiction,Romance,Young Adult,Audiobook,Womens Fiction,Adult,Drama"
To Kill a Kingdom (Hardcover),Alexandra Christo,2018,3.79,141831,"Fantasy,Young Adult,Romance,Retellings,Young Adult,Fiction,Adventure,Mythology,Fantasy,Adventure"
One True Loves (Kindle Edition),Taylor Jenkins Reid,2016,4.09,189627,"Romance,Fiction,Contemporary,Audiobook,Womens Fiction,Adult,Romance,Adult Fiction,Drama,New Adult"
The Light Between Oceans (Hardcover),M.L. Stedman,2012,4.04,437718,"Fiction,Historical,Historical,Cultural,Book Club,Romance,Adult,Adult Fiction,Audiobook,Drama"
"Carry On (Simon Snow, #1)",Rainbow Rowell,2015,4.19,283066,"Fantasy,Young Adult,LGBT,Romance,Fiction,LGBT,Fantasy,Paranormal,Audiobook,Young Adult"
Norse Mythology (Paperback),Neil Gaiman,2017,4.1,283470,"Fantasy,Fantasy,Fiction,Audiobook,Short Stories,Historical,Classics,Adult,Retellings,Religion"
American Psycho (Paperback),Bret Easton Ellis,1991,3.82,276797,"Fiction,Horror,Classics,Thriller,Mystery,Contemporary,Novels,Literature,Mystery,Literature"
Conversations with Friends (Kindle Edition),Sally Rooney,2017,3.8,354079,"Fiction,Contemporary,Romance,Literary Fiction,LGBT,Audiobook,Cultural,Adult,Novels,LGBT"
An Abundance of Katherines (Hardcover),John Green,2006,3.53,505647,"Young Adult,Fiction,Contemporary,Romance,Realistic Fiction,Young Adult,Humor,Young Adult,Young Adult,Audiobook"
My Sister's Keeper (Paperback),Jodi Picoult,2004,4.09,1154550,"Fiction,Contemporary,Womens Fiction,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,Family,Novels"
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,2006,4.01,491955,"Horror,Fiction,Horror,Science Fiction,Fantasy,Apocalyptic,Science Fiction,Audiobook,Science Fiction,War"
The Outsiders (Mass Market Paperback),S.E. Hinton,1967,4.12,1173688,"Classics,Young Adult,Fiction,Academic,Academic,Realistic Fiction,Young Adult,Historical,Contemporary,Young Adult"
"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,2018,4.21,77128,"Fantasy,Romance,Young Adult,Young Adult,Fiction,Romance,Fantasy,Adventure,Audiobook,Science Fiction"
Piranesi (Hardcover),Susanna Clarke,2020,4.25,183786,"Fantasy,Fiction,Mystery,Magical Realism,Fantasy,Adult,Literary Fiction,Science Fiction,Audiobook,Science Fiction Fantasy"
The Lord of the Rings (Paperback),J.R.R. Tolkien,1955,4.52,631609,"Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Fantasy,Fantasy,Literature,Novels,Young Adult"
Heartless (Hardcover),Marissa Meyer,2016,4.09,155188,"Fantasy,Young Adult,Retellings,Romance,Fiction,Young Adult,Fantasy,Audiobook,Fantasy,Fairy Tales"
Heart Bones (Kindle Edition),Colleen Hoover,2020,4.33,246436,"Romance,Contemporary,New Adult,Fiction,Romance,Young Adult,Adult,Audiobook,Womens Fiction,Drama"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (Hardcover),Marie Kondō,2010,3.87,335798,
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,2015,3.75,164376,"Fiction,Fantasy,Magical Realism,Contemporary,Cultural,Science Fiction,Asian Literature,Audiobook,Science Fiction,Adult"
Mrs. Dalloway (Hardcover),Virginia Woolf,1925,3.79,269253,"Classics,Fiction,Literature,Novels,Feminism,European Literature,Literature,Literary Fiction,Academic,Literature"
Extremely Loud & Incredibly Close (Paperback),Jonathan Safran Foer,2005,3.97,406791,"Fiction,Contemporary,Historical,Novels,Literary Fiction,Adult,Adult Fiction,Literature,New York,Young Adult"
Where the Wild Things Are (Paperback),Maurice Sendak,1963,4.23,941251,"Childrens,Childrens,Fiction,Classics,Fantasy,Adventure,Young Adult,Animals,Kids,Folklore"
"The Flatshare (The Flatshare, #1)",Beth O'Leary,2019,4.04,288379,"Romance,Contemporary,Fiction,Womens Fiction,Romance,Audiobook,Adult,Adult Fiction,New Adult,European Literature"
Benjamin Franklin: An American Life (Paperback),Walter Isaacson,2003,4.03,132029,
Go Set a Watchman (Hardcover),Harper Lee,2015,3.31,257515,"Fiction,Historical,Classics,Audiobook,Historical,Adult,Adult Fiction,Literature,Literary Fiction,Novels"
I'm Glad My Mom Died (ebook),Jennette McCurdy,2022,4.61,223545,"Nonfiction,Autobiography,Audiobook,Biography,Health,Adult,Biography,Biography Memoir,Humor,Contemporary"
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,2016,4.33,232936,"Young Adult,Fantasy,Science Fiction,Science Fiction,Fiction,Audiobook,Romance,Young Adult,Young Adult,Death"
The Sun Also Rises (Paperback),Ernest Hemingway,1926,3.81,409364,"Classics,Fiction,Literature,Novels,Historical,Literature,Cultural,Academic,Literary Fiction,Literature"
"Allegiant (Divergent, #3)",Veronica Roth,2013,3.61,968733,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Audiobook,Apocalyptic"
Matilda (Paperback),Roald Dahl,1988,4.33,835642,"Childrens,Fiction,Classics,Fantasy,Childrens,Young Adult,Humor,Audiobook,Fantasy,Academic"
The Name of the Rose (Paperback),Umberto Eco,1980,4.13,340474,"Fiction,Historical,Mystery,Classics,Historical,Literature,European Literature,Cultural,Mystery,Novels"
"Girl, Woman, Other (Hardcover)",Bernardine Evaristo,2019,4.32,193005,"Fiction,Feminism,Contemporary,LGBT,Literary Fiction,Short Stories,LGBT,Audiobook,Race,Womens"
The Five People You Meet in Heaven (Paperback),Mitch Albom,2003,3.97,661593,"Fiction,Inspirational,Contemporary,Fantasy,Classics,Spirituality,Adult,Philosophy,Adult Fiction,Novels"
Salt to the Sea (Hardcover),Ruta Sepetys,2016,4.36,175862,"Historical,Young Adult,Historical,Fiction,War,War,Audiobook,Romance,Young Adult,Adventure"
An American Marriage (Hardcover),Tayari Jones,2018,3.95,329942,"Fiction,Contemporary,Audiobook,Literary Fiction,Adult,Romance,Adult Fiction,Cultural,Race,Book Club"
Before I Go to Sleep (Hardcover),S.J. Watson,2011,3.9,320498,"Thriller,Fiction,Mystery,Thriller,Suspense,Mystery,Adult,Contemporary,Thriller,Adult Fiction"
Alexander Hamilton (Paperback),Ron Chernow,2004,4.21,165562,"History,Biography,Nonfiction,North American Hi...,Politics,Audiobook,Historical,Biography Memoir,Military History,Unfinished"
"The Iron King (The Iron Fey, #1)",Julie Kagawa,2010,3.88,206805,"Fantasy,Young Adult,Romance,Fantasy,Fairies,Paranormal,Fantasy,Fantasy,Fiction,Young Adult"
