,Title,Author,Author Average Rating,Rating,Raters,Genres
60,All the Ugly and Wonderful Things (Hardcover),Bryn Greenwood,4.02,4.02,139189,"Fiction,Contemporary,Romance,Adult,Audiobook,Adult Fiction,Literary Fiction,Dark,Sociology,Young Adult"
61,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,4.03,3.96,104894,"Fantasy,Young Adult,Romance,Science Fiction,Young Adult,Fiction,Fantasy,Historical,Historical,War"
62,A Christmas Carol (Paperback),Charles Dickens,3.91,4.07,750202,"Classics,Fiction,Holiday,Fantasy,Literature,Audiobook,Historical,Holiday,Academic,Literature"
63,Between the World and Me (Hardcover),Ta-Nehisi Coates,4.27,4.4,305920,"Nonfiction,Autobiography,Race,Audiobook,History,Social Movements,Biography,Politics,Writing,Cultural"
64,The Emperor of All Maladies: A Biography of Cancer (Hardcover),Siddhartha Mukherjee,4.32,4.32,93652,"Nonfiction,Science,History,Health,Medical,Health,Science,Audiobook,Biography,Science"
65,Her,Harriet Lane,3.08,2.82,10088,"Fiction,Thriller,Mystery,Suspense,Contemporary,Thriller,Thriller,Adult,Adult Fiction,Novels"
66,Crazy,Benjamin Lebert,3.01,2.92,2201,"Young Adult,Fiction,European Literature,Contemporary,Academic,Novels,Young Adult,Cultural,Roman,Drama"
67,Holy Terror,Frank Miller,4.13,1.98,994,"Sequential Art,Sequential Art,Comics,Fiction,Comics,War,Graphic Novels Comics,Politics,Dc Comics,Mystery"
68,Lair of the White Worm,Bram Stoker,4.0,2.8,3830,"Horror,Classics,Fiction,Gothic,Fantasy,Novels,Literature,Literature,Mystery,Fantasy"
69,Amnesia,Peter Carey,3.61,2.83,2263,"Fiction,Cultural,Thriller,Contemporary,Mystery,Literary Fiction,Mystery,Audiobook,Novels,Science Fiction"
70,"The Gunslinger (The Dark Tower, #1)",Stephen King,4.06,3.93,569482,"Fantasy,Fiction,Horror,Science Fiction,Westerns,Adventure,Audiobook,Science Fiction Fantasy,Thriller,Apocalyptic"
71,"Suicide Ride: The Platinum Man (Suicide Ride, #1)",E. Llewellyn,2.89,2.81,227,"Romance,Business,Contemporary"
72,Last Night at the Telegraph Club (Hardcover),Malinda Lo,3.92,4.26,48675,"Historical,LGBT,Romance,Young Adult,LGBT,LGBT,Fiction,Historical,Contemporary,Audiobook"
73,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.35,4.52,632967,"Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Fantasy,Fantasy,Literature,Novels,Young Adult"
74,"Slammed (Slammed, #1)",Colleen Hoover,4.24,4.22,264980,"Romance,New Adult,Young Adult,Contemporary,Romance,Fiction,Womens Fiction,Young Adult,Realistic Fiction,Poetry"
75,A Dark Matter,Peter Straub,4.02,2.97,4405,"Horror,Fiction,Mystery,Thriller,Fantasy,Fantasy,Suspense,Fantasy,Audiobook,Occult"
