Title,Author,Year,Rating,Raters
Sour Candy (Kindle Edition),Kealan Patrick Burke,Missing,3.74,9567
The Masque of the Red Death (Paperback),Edgar Allan Poe,Missing,4.08,33317
Dark Matter (Hardcover),Michelle Paver,Missing,3.98,14605
Near the Bone (Paperback),Christina Henry,Missing,3.75,8321
"Miles Behind Us (The Walking Dead, #2)",Robert Kirkman,Missing,4.23,38139
The Good House (Paperback),Tananarive Due,Missing,3.98,5986
Survivor Song (Hardcover),Paul Tremblay,Missing,3.63,13117
Things We Lost in the Fire (Hardcover),Mariana Enríquez,Missing,4.07,25586
The Case of Charles Dexter Ward (Paperback),H.P. Lovecraft,Missing,4.15,18237
The Great God Pan (Paperback),Arthur Machen,Missing,3.70,12187
The Shadows (Hardcover),Alex North,Missing,3.74,44062
In the Tall Grass (Audio CD),Stephen King,Missing,3.65,23888
I Have No Mouth and I Must Scream (Mass Market Paperback),Harlan Ellison,Missing,3.90,28681
"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,Missing,4.23,84040
"Girl of Nightmares (Anna, #2)",Kendare Blake,Missing,3.85,30624
Necronomicon: The Best Weird Tales (Hardcover),H.P. Lovecraft,Missing,4.20,16027
Just Like Home (Hardcover),Sarah Gailey,Missing,3.47,7609
The Black Cat (Paperback),Edgar Allan Poe,Missing,4.04,37244
Missing,Missing,Missing,0,0
Missing,Missing,Missing,0,0
The King in Yellow (Paperback),Robert W. Chambers,Missing,3.51,13580
The Monster of Elendhaven (Hardcover),Jennifer Giesbrecht,Missing,3.57,6998
"Welcome to Dead House (Goosebumps, #1)",R.L. Stine,Missing,3.84,33283
Those Across the River (Hardcover),Christopher Buehlman,Missing,3.69,9658
"Lasher (Lives of the Mayfair Witches, #2)",Anne Rice,Missing,3.87,58970
Lost Souls (Paperback),Poppy Z. Brite,Missing,3.90,17249
Tomie (Hardcover),Junji Ito,Missing,4.12,18640
The Dark Descent of Elizabeth Frankenstein (Hardcover),Kiersten White,Missing,3.90,18203
Authority (Paperback),Jeff VanderMeer,Missing,3.53,72952
Brother (Paperback),Ania Ahlborn,Missing,3.97,9320
"Rolling in the Deep (Rolling in the Deep, #0.5)",Mira Grant,Missing,3.99,7624
"The Diviners (The Diviners, #1)",Libba Bray,Missing,3.94,93803
Danse Macabre (Paperback),Stephen King,Missing,3.66,27161
The Monk (Paperback),Matthew Gregory Lewis,Missing,3.82,25596
Dracul (Hardcover),Dacre Stoker,Missing,4.13,12448
Elevation (Hardcover),Stephen King,Missing,3.66,107864
The Mummy (Ramses the Damned #1),Anne Rice,Missing,3.85,45404
Disappearance at Devil's Rock (Hardcover),Paul Tremblay,Missing,3.59,12963
Song of Kali (Paperback),Dan Simmons,Missing,3.61,12567
"Hannibal Rising (Hannibal Lecter, #4)",Thomas  Harris,Missing,3.55,44300
"This Book Is Full of Spiders (John Dies at the End, #2)",David  Wong,Missing,4.25,28283
Gyo (Hardcover),Junji Ito,Missing,3.87,17425
Rage (Paperback),Richard Bachman,Missing,3.75,41623
Lord of the Flies (Paperback),William Golding,Missing,3.69,2638283
The Shadow over Innsmouth (Paperback),H.P. Lovecraft,Missing,4.12,16723
The Fog (Paperback),James Herbert,Missing,3.89,25074
Harvest Home (Hardcover),Thomas Tryon,Missing,3.84,8538
Hidden Pictures (Hardcover),Jason Rekulak,Missing,4.24,42446
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,Missing,4.07,891128
"Pines (Wayward Pines, #1)",Blake Crouch,Missing,3.94,104323
The Thief of Always (Hardcover),Clive Barker,Missing,4.20,30935
The Collector (Paperback),John Fowles,Missing,3.98,69345
The Pit and the Pendulum (Paperback),Edgar Allan Poe,Missing,4.19,53779
Burnt Offerings (Hardcover),Robert Marasco,Missing,3.80,7424
Craven Manor (Paperback),Darcy Coates,Missing,3.95,13076
Rebecca (ebook),Daphne du Maurier,Missing,4.24,559393
Lightning (Mass Market Paperback),Dean Koontz,Missing,4.08,59496
Seed (ebook),Ania Ahlborn,Missing,3.72,11472
"Safety Behind Bars (The Walking Dead, #3)",Robert Kirkman,Missing,4.30,32400
"The Keep (Adversary Cycle, #1)",F. Paul Wilson,Missing,4.00,18189
White Smoke (Hardcover),Tiffany D. Jackson,Missing,3.85,11050
"Deadline (Newsflesh, #2)",Mira Grant,Missing,4.10,25328
"Malorie (Bird Box, #2)",Josh Malerman,Missing,3.82,18762
