Author,Author Average Rating,Author Votes,Review Count,Distinct Works,chi
Jenny Han,3.97,2416066,190370,37,33
Solomon Northup,4.2,115869,7915,82,44
Chimamanda Ngozi Adichie,4.33,1015521,93204,111,44
Ann Napolitano,4.08,142877,15576,7,41
Georgie Thompson,2.64,476,78,1,21
Joseph Conrad,3.5,657435,28417,1189,35
Irma S. Rombauer,4.12,178084,1356,30,43
Yuval Noah Harari,4.33,1222247,74056,54,44
Ann Beattie,3.62,17032,1994,108,34
Larry McMurtry,4.2,339627,20937,92,44
Deborah Harkness,4.07,910259,79023,28,43
Louis Sachar,4.0,1411987,38940,77,44
Alexandra Coutts,3.05,1731,411,2,31
Barack Obama,4.04,592649,34941,223,45
Alexandra Christo,3.78,147735,21242,8,31
Lacey Noonan,3.1,312,72,24,33
Matthew Rosenberg,3.7,29866,4060,391,35
Adam Silvera,3.85,859037,112867,23,33
Michael Arntfield,3.27,3076,403,10,32
Gregory David Roberts,4.24,212822,16554,12,42
J.K. Rowling,4.46,32199613,716327,385,45
Greg McKeown,4.04,107710,9489,12,42
Richelle Mead,4.24,3310059,152579,80,44
Gabrielle Zevin,4.01,479566,63244,14,42
Ivan Brandon,3.38,4651,651,120,34
Shannon Hale,3.98,738735,76982,90,34
Jack London,3.98,884084,35031,3102,35
Kristien Hemmerechts,3.1,4651,356,95,34
Kira Coplin,2.68,289,48,1,21
David Nicholls,3.77,416410,28096,22,33
Kiera Cass,3.99,3603821,223854,33,33
Simone de Beauvoir,4.07,140662,11136,213,45
Malcolm Gladwell,4.03,2627137,106460,90,44
Andrew Sean Greer,3.65,213428,25375,18,32
Jon Krakauer,4.06,1816845,69479,43,43
Dale Carnegie,4.2,1003960,28154,524,45
Leigh Bardugo,4.17,3659601,407636,69,44
Paul Ruditis,4.01,14485,1033,114,44
Amy Poehler,3.86,503759,28773,5,31
Mary E. Pearson,4.07,428090,47730,35,43
Franz Kafka,3.89,1520653,60290,1624,35
Sean Gandert,2.78,1103,146,4,21
Daniel Keyes,4.19,629065,29349,86,44
Katie Kitamura,3.44,40986,5235,11,32
L. Ron Hubbard,3.46,67355,5817,684,35
Erin Morgenstern,4.0,1031796,123844,5,41
Philippa Gregory,3.93,1632066,84238,112,34
Hermann Hesse,4.07,1157455,47773,959,45
C.S. Lewis,4.16,7067463,179290,671,45
David Sedaris,4.01,2059290,90223,77,44
Sheila Curran,3.0,343,74,6,31
Cornelia Funke,3.94,900985,39278,235,35
Eckhart Tolle,4.16,563851,25042,207,45
Lorraine J. Anderson,3.11,408,51,21,33
Jane Smiley,3.75,170262,16476,99,34
David Mitchell,3.94,624104,64082,87,34
Lucy Score,4.29,638806,52269,53,43
Namina Forna,4.01,40690,7478,5,41
Jennifer Egan,3.65,357237,38362,38,33
Alexandre Dumas,4.2,1398032,46649,3373,45
Laura Sebastian,3.93,114532,12561,14,32
Nelson Mandela,4.31,125050,5806,189,44
Kate Williams,3.67,11245,1513,57,34
Alison Cherry,3.59,5217,1142,9,32
Cassandra Clare,4.23,8430569,485052,187,44
Dolly Alderton,4.05,204251,17769,7,41
Alisa Valdes,3.56,34793,1950,23,33
Christopher Paolini,3.98,2784381,68610,56,34
Thomas Dixon Jr.,2.92,496,132,43,23
Elizabeth Wein,3.98,177417,25595,37,33
Colson Whitehead,4.06,700067,67228,33,43
Melina Morel,2.97,269,44,3,21
Jeff Kinney,4.14,1899815,76985,148,44
Brian Greene,4.09,157753,5032,31,43
Taylor Jenkins Reid,4.27,3848787,430375,19,42
Sadie Jones,3.33,26151,3875,8,31
Veronica Roth,4.03,6677151,294114,50,43
Paris Hilton,3.04,1870,176,9,32
Dan Jurgens,3.76,109004,8411,1471,35
Cindy  Jones,2.91,1048,188,1,21
L.M. Montgomery,4.23,1959342,83534,975,45
Charmaine Wilkerson,4.15,77623,9070,4,41
Natasha Tynes,1.64,2317,992,1,11
Cynthia Kaplan,3.45,3541,309,4,31
John Berendt,3.91,282934,12919,18,32
Tom Piccirilli,3.76,18025,2216,178,34
Maria Konopnicka,3.22,5578,192,104,34
Sarah J. Maas,4.36,8085953,673372,87,44
Anthony Doerr,4.3,1567798,118309,47,43
Therese Bohman,3.4,9895,1648,6,31
Amal El-Mohtar,3.95,126279,25194,111,34
Sarah J. Maas,4.36,8085275,673336,87,44
James Joyce,3.75,475813,27859,838,35
Claude Izner,3.09,4015,651,49,33
Tara Westover,4.47,1255931,93610,7,41
Stephenie Meyer,3.68,13006232,387893,74,34
Markus Zusak,4.35,2492083,155646,25,43
J.M. Barrie,4.07,398877,16638,736,45
Eowyn Ivey,4.01,155321,20206,5,41
Victoria Aveyard,3.94,1634737,124980,24,33
Kiera Cass,3.99,3603560,223833,33,33
Ruth Hogan,3.84,154930,15181,5,31
Roshani Chokshi,3.93,154644,31362,38,33
Dale M. Courtney,2.69,197,70,3,21
Jon Ronson,3.91,274713,20060,22,33
Jojo Moyes,4.11,3002979,213734,60,44
Taylor Antrim,3.54,2603,352,3,31
James Dashner,3.95,2764964,144706,50,33
Malcolm Gladwell,4.03,2627165,106462,90,44
James Clear,4.38,509680,35629,19,42
Jennifer Lynn Barnes,4.2,817470,96360,35,43
Patrick Rothfuss,4.46,1572482,93424,55,44
Dan Brown,3.87,7967754,200537,134,34
Joe Abercrombie,4.24,931962,58587,91,44
Robert Louis Stevenson,3.85,1327370,50116,3473,35
Alexis  Hall,4.0,172758,34143,49,43
Lauren Weisberger,3.69,1191545,29487,25,33
Arthur Conan Doyle,4.18,2310183,85786,6786,45
Claire Lombardo,3.95,68794,7622,2,31
Laura Esquivel,3.92,369863,13845,38,33
Alice Mattison,3.19,3160,635,24,33
Jill Santopolo,3.82,165907,14963,28,33
Dai Sijie,3.62,63182,5279,18,32
Kate  Moore,4.17,139821,18891,6,41
Grady Hendrix,3.77,404072,64717,43,33
Henry  Alford,3.13,1780,418,7,31
Morrissey,3.54,13828,1451,27,33
Leo Tolstoy,4.08,1487197,77552,3537,45
Caleb Carr,4.0,246815,13204,25,43
Herman Pleij,3.29,749,105,46,33
Jeff VanderMeer,3.72,450171,50607,214,35
Neal Shusterman,4.22,1004931,127741,86,44
Helen Keller,4.07,150866,4221,111,44
Sarah Pinborough,3.73,224853,34119,83,34
Beth O'Leary,3.96,504201,62571,14,32
Kiera Cass,3.99,3603898,223858,33,33
Stephen Graham Jones,3.69,141710,28101,211,35
Hanya Yanagihara,4.26,463337,71968,14,42
James Patterson,3.99,7545068,398167,1046,35
Laurie Frankel,4.21,193699,20316,7,41
Maria Semple,3.79,617985,55997,8,31
Howard Chaykin,3.78,55051,4385,693,35
Rainbow Rowell,3.96,2767022,263017,93,34
Adam M. Grant,4.04,195754,14552,8,41
Nicola Yoon,3.99,922905,92983,17,32
Milan Kundera,4.02,687009,38604,162,44
John Christopher,3.93,52506,3745,118,34
John Marks,2.78,1384,266,65,24
Janice Knowlton,2.86,251,29,1,21
Neil Gaiman,4.14,7226645,450345,1481,45
Lucinda Rosenfeld,2.99,6268,881,5,21
Maureen Johnson,3.96,935355,100250,57,34
Suzannah Dunn,3.26,7743,1064,16,32
Casey McQuiston,4.11,856789,116995,6,41
Helen Hoang,3.93,572826,69395,7,31
Arthur Conan Doyle,4.18,2310190,85792,6786,45
Colleen McCullough,4.18,449437,14234,118,44
Rudyard Kipling,3.91,411286,18971,2968,35
Jodi Picoult,3.99,4447221,273762,82,34
Titania Hardie,3.09,4809,675,53,33
Oscar Wilde,4.11,2159866,92092,2824,45
Janet Fitch,3.96,358499,10211,18,32
Kiersi Burkhart,3.52,984,288,7,31
Emily St. John Mandel,3.99,711690,83220,20,33
Edgar Allan Poe,4.15,1539982,51512,5482,45
Dale Carnegie,4.2,1004019,28156,524,45
Casey McQuiston,4.11,856713,116993,6,41
Yelena Akhtiorskaya,2.81,1129,228,3,21
Banksy,3.86,226038,1083,25,33
Art Spiegelman,4.37,719117,29905,115,44
Stacy Schiff,3.65,136646,9185,10,32
Chris    Lynch,3.47,13210,3194,64,34
Jennifer Weiner,3.71,1360006,70418,58,34
Penelope Douglas,3.95,1341159,127183,40,33
Greg Mortenson,3.67,371707,26071,5,31
James Joyce,3.75,475821,27860,839,35
Martha Wells,4.25,574360,59161,73,44
Melissa Sue Anderson,2.74,1314,309,7,21
Mindy Kaling,3.91,744686,39436,23,33
Diane Johnson,3.48,21566,2555,79,34
Andrew Keen,3.21,2624,497,9,32
Leigh Bardugo,4.17,3659516,407633,69,44
Howard Zinn,4.08,255076,8972,178,44
Sue Lynn Tan,4.18,37980,8338,4,41
John Green,4.0,8873839,413756,46,43
Stephenie Meyer,3.68,13005848,387884,74,34
Ramsey Campbell,3.97,154690,11217,735,35
Robert Greene,4.17,220494,13492,112,44
Jean-Paul Sartre,4.0,369368,17108,554,45
Marissa Meyer,4.21,2589864,270013,56,44
Kate Quinn,4.32,824584,70577,26,43
Alice Feeney,3.89,501416,62912,15,32
Jenna Evans Welch,4.02,155769,22204,6,41
Hortense Ullrich,3.34,3837,165,102,34
Mary Kubica,3.83,633775,57334,22,33
Andy Weir,4.28,1953645,196612,48,43
Megan Kelso,3.19,1777,317,12,32
Laurie Graff,3.02,2292,288,6,31
Jorge Molist,3.71,3506,352,13,32
Cécile David-Weill,2.59,567,99,6,21
Samantha  Downing,3.81,163125,22980,5,31
Lucy Foley,3.78,1187201,108251,14,32
Truman Capote,4.01,947215,42691,223,45
Sayaka Murata,3.7,223336,34211,28,33
Laini Taylor,4.1,868382,104377,33,43
Patrick Howarth,3.1,145,22,17,32
Jennifer Stevenson,3.37,2136,470,57,34
Isabel Allende,4.0,1050280,75789,146,44
Nicholas Sparks,4.1,6336889,194781,193,44
سلوى النعيمي,2.4,1548,346,7,21
Shari Lapena,3.8,977402,78409,13,32
Liane Moriarty,3.95,3271291,221862,35,33
Huntley Fitzpatrick,3.93,189732,14408,4,31
George R.R. Martin,4.37,6423170,220105,1121,45
Elena  Armas,3.93,490158,58974,4,31
Susan Moody,3.36,1770,249,53,33
Eoin Colfer,3.95,1523259,48539,141,34
Eckhart Tolle,4.16,563832,25042,207,45
Andrea Maria Schenkel,3.19,3746,502,13,32
Philip K. Dick,3.93,1245758,68909,1144,35
Lisa Genova,4.2,533822,54588,14,42
Julia Pierpont,2.98,13053,1801,3,21
Natasha Ngan,3.83,63946,10714,7,31
Simon Beckett,4.01,86764,4979,33,43
Mihaly Csikszentmihalyi,4.08,86690,4802,55,44
Newt Scamander,3.97,381113,11981,1,31
Swati Kaushal,3.25,909,95,8,31
Lucy Ives,3.1,1931,427,19,32
Ken Follett,4.22,2287652,119997,237,45
Liane Moriarty,3.95,3271368,221863,35,33
Frank Herbert,4.13,1887134,77998,364,45
M.L. Stedman,4.04,438440,36747,2,41
Eliza Kennedy,3.11,7613,1218,4,31
Lauren Weisberger,3.69,1191521,29486,25,33
John Coyne,3.6,3852,392,47,33
Cecelia Ahern,3.92,864750,52721,74,34
Daniel Menaker,3.3,1419,309,13,32
Lori Gottlieb,4.35,259863,23286,15,42
John Grisham,3.95,5726241,212203,323,35
Ashley Audrain,4.09,229629,27645,3,41
Raven Kennedy,4.15,322734,29694,33,43
John Marrs,4.1,249380,30318,15,42
Margaret Mitchell,4.31,1200089,23644,72,44
Sun Tzu,3.97,436322,16100,489,35
Rick Yancey,3.94,685090,57125,33,33
Austin Kleon,3.99,321232,12947,8,31
Antoine de Saint-Exupéry,4.31,1888375,60412,573,45
Victoria Aveyard,3.94,1634617,124969,24,33
Lisa Gabriele,3.59,5706,1044,4,31
Walter Isaacson,4.15,1633630,39790,71,44
Mikhail Bulgakov,4.23,432848,23967,465,45
Riley Sager,3.87,711761,95191,10,32
Jonathan Lethem,3.85,362716,38125,200,34
Carol S. Dweck,4.09,129220,9802,21,43
Donna Tartt,4.0,1424451,126050,28,43
Hannah  Grace,4.17,86916,11256,1,41
James Wolcott,3.18,592,57,11,32
Jeannette Walls,4.24,1300382,76521,19,42
خالد خليفة,3.34,6719,1552,7,31
Andy Weir,4.28,1953545,196606,48,43
Helen  Smith,2.98,4323,981,20,23
Douglas Lain,3.42,1128,212,19,32
Michael Ende,4.21,283294,14060,166,44
Sue Monk Kidd,4.07,1745246,82644,38,43
J.D. Salinger,3.84,3654801,90793,119,34
Rosecrans Baldwin,3.37,5239,762,9,32
George R.R. Martin,4.37,6423107,220104,1121,45
Zora Neale Hurston,3.98,375495,24175,139,34
Pip Williams,4.07,81509,10169,13,42
Clara Reeve,3.04,795,109,50,33
Colleen Hoover,4.24,9640565,874692,62,44
Ottessa Moshfegh,3.65,383161,56427,37,33
Margaret Atwood,4.04,3486459,218504,470,45
Fay Weldon,3.48,26524,3045,165,34
Ayn Rand,3.76,924539,48010,210,35
Beth Revis,3.87,255573,27590,45,33
Mark Haddon,3.87,1452660,59872,63,34
Kate Elizabeth Russell,4.09,235160,32649,2,41
Sara Shepard,3.93,926542,54215,106,34
Lorence Alison,2.93,368,112,3,21
Libba Bray,3.85,706186,64013,41,33
David    Allen,3.99,157029,6585,68,34
N.K. Jemisin,4.2,764444,82799,119,44
Arundhati Roy,3.92,335138,24292,86,34
Chuck Palahniuk,3.84,1638019,74329,149,34
Larry   Ellis,1.63,76,25,3,11
Yaa Gyasi,4.36,410142,46054,11,42
Mary Roach,3.95,440504,39678,22,33
Paulo Coelho,3.8,3889259,172390,225,35
Patricia Weitz,2.93,1372,220,1,21
Hafid Bouazza,3.11,1353,122,31,33
Hilary Mantel,4.0,380460,39068,86,44
Alex Michaelides,4.09,1514366,146959,9,42
Patricia Cornwell,3.89,1330664,44514,136,34
Mary Gordon,3.7,31507,2538,83,34
Graeme Simsion,3.93,709565,63531,26,33
Chanel Miller,4.72,149368,21023,1,41
Gabrielle Zevin,4.01,479455,63229,14,42
Kosoko Jackson,3.64,5831,1763,12,32
Ben Horowitz,4.21,89187,4291,16,42
Marieke Nijkamp,3.65,132062,18641,34,33
Elena  Armas,3.93,490031,58960,4,31
Francine Pascal,3.57,269537,11843,811,35
Cal Newport,4.13,247373,22563,92,44
Betje Wolff,3.01,632,40,13,32
James C. Collins,4.1,285802,8170,71,44
George S. Clason,4.26,167652,9270,60,44
Norman Rush,3.67,6470,841,12,32
Dave Pelzer,4.11,531629,22591,39,43
Marcus Aurelius,4.25,192856,10819,425,45
Richard Cohen,2.47,780,205,25,23
Jay Kristoff,4.28,617617,114174,30,43
Philip Kerr,4.01,127256,10979,54,44
Jon Krakauer,4.06,1816797,69478,43,43
Susan Orlean,3.85,145483,22294,40,33
Richard Powers,4.02,212363,29227,69,44
Ocean Vuong,4.07,253273,34607,18,42
Tomi Adeyemi,4.06,263787,37335,7,41
Garrison Keillor,3.83,53635,5634,227,35
Jim Starlin,3.95,101707,6767,796,35
Sister Souljah,4.29,62341,5370,12,42
Jodi Picoult,3.99,4447211,273762,82,34
Andy Weir,4.28,1953489,196598,48,43
Matthew Weiner,2.94,6508,1142,4,21
Ed Catmull,4.21,85126,5108,6,41
Ethan Hauser,2.92,250,50,3,21
Nicholas Sparks,4.1,6336846,194778,193,44
Rob Liefeld,3.9,59021,2750,439,35
Holly  Jackson,4.33,755721,94926,10,42
Aasif Mandvi,3.31,3354,477,10,32
B.L. Morticia,3.47,1055,356,71,34
Jessica Knoll,3.49,212732,17478,3,31
Shirley Jackson,3.92,648274,61474,256,35
Patrick Radden Keefe,4.45,159839,18613,12,42
Shelby Mahurin,3.91,359315,47043,7,31
Frances Mayes,3.76,363013,7649,45,33
Rose Szabo,3.28,6057,1726,5,31
Agatha Christie,4.02,5724455,337935,3345,45
Brandon Sanderson,4.4,4950300,345009,340,45
Rachel Howzell Hall,3.64,40129,4625,22,33
Jojo Moyes,4.11,3003008,213734,60,44
Stieg Larsson,4.17,4852942,160529,68,44
Paula McLain,3.83,449978,40679,17,32
Josh Malerman,3.89,239145,32094,67,34
محمد الأشعري,3.02,648,135,11,32
Tammara Webber,4.03,323234,18652,9,42
V.E. Schwab,4.17,1701519,237366,61,44
Erika Carter,2.62,2879,445,4,21
Min Jin Lee,4.29,394477,39247,13,42
Charlotte Brontë,4.02,3520224,95892,869,45
Vladimir Nabokov,3.88,1417118,61245,505,35
Charlaine Harris,3.94,3519866,139555,197,34
Sarah       Adams,3.81,198931,24958,11,32
Eric Ries,4.11,304465,4372,24,43
Kazuo Ishiguro,3.85,1336656,117741,46,33
Brock Clarke,3.06,8687,1904,15,32
Anthony Doerr,4.3,1567870,118312,47,43
Anne Rice,3.91,2137572,63265,220,35
Alexander Campion,3.04,1561,303,5,31
Robin Sloan,3.74,261952,37684,22,33
Andy Weir,4.28,1953594,196612,48,43
Stacy Willingham,4.02,132310,15462,5,41
Susannah Cahalan,4.05,210718,15824,2,41
Fredrik Backman,4.26,2271558,270402,27,43
Aziz Ansari,3.81,181517,13690,6,31
Alice Feeney,3.89,501430,62912,15,32
Sabaa Tahir,4.25,556000,69692,18,42
Krista Ritchie,4.14,532013,64267,36,43
Tamsyn Muir,4.26,159636,29313,38,43
Helen Fielding,3.74,1141192,23141,35,33
Samantha Shannon,4.08,270642,42687,24,43
Nicholson Baker,3.64,38458,5207,33,33
Hoda Barakat,3.13,3731,839,12,32
Dan Abnett,4.05,270625,17984,1936,45
Charles Dickens,3.91,3609551,121946,5782,35
Kristin Hannah,4.31,3556534,296625,82,44
Carmen Maria Machado,4.12,183806,28174,94,44
Michael Coveney,3.2,1204,264,19,32
Anthony Bourdain,4.04,404064,25074,74,44
Blake Crouch,4.06,940078,102538,74,44
Christine Woodward,2.89,428,109,12,22
J.D. Vance,3.88,383097,32579,5,31
S.M. Stirling,3.91,166564,10154,137,34
Richard P. Feynman,4.25,338645,12974,160,44
James Franco,3.19,19691,2824,45,33
Joshua Williamson,3.8,93813,10384,840,35
Gayle Forman,3.92,1427846,98478,30,33
Madeline  Stevens,2.77,1539,295,1,21
Geoffrey Chaucer,3.56,251646,6171,634,35
Tamara Ireland Stone,4.18,89781,11480,13,42
Douglas Adams,4.2,3166111,75134,87,44
Madeline Miller,4.31,1843766,198156,12,42
Garth Nix,4.04,882095,48202,195,44
Georgia Hunter,4.4,130727,10666,4,41
Daphne du Maurier,4.15,761755,54880,275,45
Becca Fitzpatrick,4.0,1472129,64248,16,42
J.K. Rowling,4.46,32199772,716330,385,45
André Aciman,4.0,502864,48617,49,43
Stephanie Garber,4.12,651245,88736,10,42
Don DeLillo,3.65,263175,21930,71,34
Louise Penny,4.2,1358744,123414,46,43
Charlotte Kerner,2.77,1396,76,18,22
Stephen King,4.06,17485134,775869,1886,45
Octavia E. Butler,4.21,574768,59983,83,44
R.F. Kuang,4.26,304442,57981,15,42
Terry Pratchett,4.16,4926073,186954,415,45
Sarah Perry,3.49,75036,10096,16,32
Gregory Maguire,3.54,925153,51656,95,34
Arthur Golden,4.14,1906202,33687,8,41
H.G. Wells,3.82,1238338,50188,2250,35
Patrick Radden Keefe,4.45,159838,18613,12,42
Ann Nocenti,3.6,22537,2574,440,35
Clifton Campbell,2.93,289,45,2,21
Sarah Gardner Borden,2.62,296,75,1,21
Hilma Wolitzer,3.54,8173,1345,20,33
Richelle Mead,4.24,3310108,152580,80,44
Elizabeth Oberbeck,2.86,716,143,1,21
Laurie Halse Anderson,4.01,997105,70074,61,44
Janet Groth,2.6,1963,470,9,22
Adam Silvera,3.85,859181,112877,23,33
Janet Skeslien Charles,4.07,95446,10529,3,41
Jonathan Safran Foer,3.96,726611,48549,54,34
Ron Chernow,4.2,306037,18367,14,42
Veronica Rossi,4.04,262497,21220,18,42
Rick Riordan,4.34,11197105,446238,278,45
Scarlett St.  Clair,3.89,358148,36320,14,32
Wilkie Collins,3.92,291881,20015,1299,35
John Carreyrou,4.41,234593,20700,5,41
Piper Kerman,3.72,194697,14997,1,31
William L. Shirer,4.19,135468,4492,73,44
Kiley Reid,3.82,447064,36561,5,31
David Grann,4.02,279209,28077,19,42
Philip Pullman,4.05,2727921,84887,165,44
Cal Newport,4.13,247368,22563,92,44
Penelope Ashe,2.98,372,73,4,21
Bonnie Garmus,4.38,234467,25445,5,41
Nick Fowler,2.82,163,27,3,21
Bolesław Prus,3.63,31984,1403,109,34
Kim Howard Johnson,3.78,3729,374,14,32
Margo Howard,3.02,198,52,5,31
Kathryn Stockett,4.47,2530559,87828,4,41
John Farris,3.62,9046,900,71,34
Kurt Vonnegut Jr.,4.07,2787250,100772,464,45
Richard Peck,3.94,107154,11781,81,34
Laura L. Sullivan,3.77,12343,1766,35,33
Jane Austen,4.14,7410567,236940,2081,45
Christina Schwarz,3.73,86472,3516,15,32
Lani Sarem,1.3,915,389,1,11
Corrie ten Boom,4.45,332535,13767,83,44
William Shakespeare,3.86,7295829,154518,7712,35
Holly McQueen,3.25,2296,346,9,32
Chetan Bhagat,3.21,510177,20055,26,33
Carlos Ruiz Zafón,4.17,1036195,87024,46,43
Marissa Meyer,4.21,2589882,270016,56,44
Susan Cain,4.07,413448,29455,12,42
Sally  Thorne,3.87,707197,78791,5,31
Edgar Allan Poe,4.15,1540036,51513,5482,45
Kim Michele Richardson,4.2,215190,24967,7,41
Joshua Williamson,3.8,93810,10384,840,35
Gabriel García Márquez,3.99,1946995,100022,543,35
Pittacus Lore,4.09,881137,46481,65,44
Sophie Kinsella,3.75,3109462,136096,90,34
Taylor Jenkins Reid,4.27,3848601,430360,19,42
Lauren Asher,4.08,443343,47965,16,42
George Eliot,3.86,380212,21679,717,35
Mitch Albom,4.08,2151443,108389,65,44
Ishmael Beah,4.14,185775,12436,10,42
Carol Rifka Brunt,4.03,135995,15284,1,41
Dennis Hopeless,3.73,41367,4854,372,35
Christopher Paolini,3.98,2784426,68613,56,34
Tatiana de Rosnay,4.05,521070,39806,45,43
Miguel de Cervantes Saavedra,3.88,295156,13087,1011,35
Walter Isaacson,4.15,1633640,39790,71,44
Chelsy Day,2.83,176,13,7,21
Laura Dave,3.84,673324,48976,14,32
Isabel Rose,2.88,623,56,10,22
Molly Jong-Fast,2.92,1003,125,6,21
Rebecca Skloot,4.1,680401,38473,5,41
Erin Watt,3.93,385025,34040,21,33
Mario Puzo,4.28,486972,15374,69,44
Andrea Rothman,2.89,1085,250,1,21
Caleb Carr,4.0,246817,13204,25,43
Spencer Johnson,3.87,602552,21300,91,34
Brit Bennett,4.13,756447,62830,14,42
Pamela Anderson,2.92,1770,202,18,22
أمل محمود,2.6,2776,561,3,21
Jasmine Guillory,3.62,423340,43805,17,32
Ken Follett,4.22,2287629,119996,237,45
Oliver Sacks,4.04,431565,24119,88,44
Phaidon Press,3.89,193864,1208,213,35
Lauren Oliver,3.88,1385551,106047,51,33
Norman Vincent Peale,4.16,110627,2430,212,45
Charles Soule,3.87,185149,20457,954,35
William H. McRaven,4.03,118969,8289,24,43
Janice Kulyk Keefer,2.77,835,162,22,23
Tricia Levenseller,3.98,376551,46749,17,32
Stephen King,4.06,17484617,775838,1886,45
Mia Sheridan,4.21,485703,56800,56,44
Joseph Nicolosi,2.06,1088,351,10,22
Jesse Andrews,3.52,142084,15881,5,31
Chris Roberson,3.9,80678,5681,439,35
Cassandra Clare,4.23,8430689,485059,187,44
Viktor E. Frankl,4.36,609684,33863,107,44
Laura  Lane,3.29,726,162,2,31
Tracy Wolff,4.04,301379,35493,97,44
Kendare Blake,3.89,402362,50430,41,33
George Saunders,3.92,337887,46158,108,34
Alice Clayton,4.02,384359,30380,19,42
Dan Brown,3.87,7967724,200537,134,34
Elizabeth Kostova,3.77,308232,24809,13,32
Charlotte Mendelson,3.16,4543,694,12,32
Diane Wei Liang,3.12,1754,332,5,31
Amanda Goldberg,2.97,2075,289,4,21
David Denby,3.57,2730,466,16,32
C.S. Lewis,4.16,7067649,179299,671,45
Tracy Deonn,4.4,89468,18610,6,41
Isaac Asimov,4.17,2345929,77923,2981,45
Dylan Saccoccio,1.62,773,146,11,12
Bruce D. Perry,4.51,73595,7392,21,43
David McCullough,4.08,883389,39003,80,44
Rachel Hawkins,3.84,695934,68308,25,33
Andersen Gabrych,3.82,10571,415,52,33
Darcy Cosper,2.82,799,107,1,21
Stephen King,4.06,17485116,775867,1886,45
Emma McLaughlin,3.41,404850,9245,15,32
Natalie Haynes,4.07,75603,10708,17,42
Gaston Leroux,3.94,241632,10748,533,35
"Mike ""The Situation"" Sorrentino",2.53,110,31,2,21
Charlotte Barnes,3.66,1260,424,21,33
Jennifer L. Armentrout,4.21,3294553,292072,120,44
Jonathan Swift,3.68,343085,9656,1203,35
Margot Lee Shetterly,3.96,117132,12589,5,31
Ann Herendeen,2.85,457,132,15,22
Harriet Beecher Stowe,3.9,225783,9953,674,35
Aiden Thomas,4.24,83955,18133,8,41
Emily St. John Mandel,3.99,711648,83219,20,33
Patrick Rothfuss,4.46,1572490,93424,55,44
David Goggins,4.36,152385,10160,9,42
Veronica Roth,4.03,6677085,294113,50,43
Ransom Riggs,3.97,1666786,107827,27,33
Jason Latour,3.89,68534,6454,281,35
Lois Lowry,4.1,3288566,133159,100,44
B.A. Paris,3.86,771994,75013,17,32
Charles Darwin,4.0,147813,4930,714,45
Susanna Clarke,4.03,448262,49194,33,43
Helena Coggan,3.48,1266,354,5,31
Fredrik Backman,4.26,2271485,270393,27,43
Bill Bryson,4.03,1583115,95727,78,44
Morgan Matson,4.02,321484,38720,14,42
Beechy Colclough,2.99,141,25,3,21
David Foster Wallace,4.12,344433,32559,110,44
Meghan Daum,3.64,22975,3238,13,32
Justin Cronin,4.06,359111,35076,19,42
Olivie Blake,3.84,135748,27471,22,33
Alka Joshi,4.18,175469,15402,4,41
Carmen Maria Machado,4.12,183808,28174,94,44
Tricia Levenseller,3.98,376543,46749,17,32
Mark Leyner,3.49,18132,1790,19,32
Lisa Jewell,3.95,1515014,121188,44,33
E.L. James,3.75,4424653,167742,39,33
V.E. Schwab,4.17,1701431,237356,61,44
Becky Albertalli,4.04,728872,85475,15,42
Mary Beard,4.01,98214,8594,53,43
Mariana Zapata,4.2,901999,100957,15,42
Bill Jemas,3.8,2368,207,60,34
Diane Setterfield,3.93,399522,40667,8,31
Greer Hendricks,3.86,654657,63903,9,32
Stieg Larsson,4.17,4852880,160529,68,44
Thomas Keneally,4.26,177237,5756,106,44
Voltaire,3.77,297878,12798,2222,35
Harriet Griffey,3.46,1246,156,55,34
Kristin Cashore,4.06,751443,50594,16,42
Bekka Black,3.0,912,282,2,31
Timothy Ferriss,3.93,363013,14270,34,33
T.J. Klune,4.38,729679,128337,55,44
Iain Reid,3.62,136271,25225,7,31
Shelley Parker-Chan,3.91,40446,7648,4,31
Adam Rex,3.97,66499,12248,70,34
Neil deGrasse Tyson,4.09,239119,21233,60,44
Robin Wall Kimmerer,4.55,81683,11940,19,42
F. Scott Fitzgerald,3.91,5107601,118141,1273,35
Taylor Jenkins Reid,4.27,3847577,430281,19,42
Brandon Sanderson,4.4,4949957,344988,340,45
William Gibson,3.89,684654,31211,203,34
Stephanie Garber,4.12,651374,88754,10,42
Kit Reed,3.7,13467,1828,177,34
Marie Lu,4.15,1523417,155114,44,43
Δημήτρης Δημητριάδης,3.73,1158,156,63,34
Andrzej Sapkowski,4.16,1079710,59747,156,44
Mark Oppenheimer,3.88,890,184,19,32
Michael Pollan,4.12,613422,47259,62,44
Hans Rosling,4.36,166358,13497,8,41
Celeste Ng,4.01,1538963,115892,14,42
Gayle Forman,3.92,1427808,98476,30,33
Andrew S. Trees,3.31,891,150,13,32
Victoria Foyt,2.14,1120,436,7,21
Charlaine Harris,3.94,3519871,139555,197,34
Sherman Alexie,4.05,422872,41734,114,44
Seanan McGuire,4.02,694982,93391,456,45
Elizabeth Lim,4.05,134340,24321,18,42
Elliot S. Maggin,4.21,65669,2052,175,44
Benjamin Markovits,3.15,2005,363,18,32
Elizabeth Gilbert,3.69,2279140,116284,46,33
Jeffrey Eugenides,4.01,2107597,84513,30,43
